year,inpat,disc_t,death_t,bor,ados,opd,beds,inpat_lag1,bor_lag1,ados_lag1,opd_lag1,growth,bor_growth,ados_growth,opd_growth,covid
2014,6120470.0,6073053.0,47417.0,72.5,3.7,21000000.0,84728.0,5926125.0,72.1,3.9,19635994.0,3.279461705583331,0.4000000000000057,-0.19999999999999973,6.946457612484491,0
2015,6359681.0,6311873.0,47808.0,73.2,3.6,22500000.0,84728.0,6120470.0,72.5,3.7,21000000.0,3.9083763175050246,0.7000000000000028,-0.10000000000000009,7.14285714285714,0
2016,6497773.0,6449753.0,48020.0,74.1,3.6,24000000.0,86589.0,6359681.0,73.2,3.6,22500000.0,2.1713667713836537,0.8999999999999915,0.0,6.666666666666665,0
2017,6910249.0,6857911.0,52338.0,75.0,3.5,26094945.0,86589.0,6497773.0,74.1,3.6,24000000.0,6.347959523978441,0.9000000000000057,-0.10000000000000009,8.72893749999999,0
2018,7116268.0,7063097.0,53171.0,76.2,3.5,27858203.0,87280.0,6910249.0,75.0,3.5,26094945.0,2.981354217481891,1.2000000000000028,0.0,6.757086477859975,0
2019,7477860.0,7418884.0,58976.0,77.1,3.5,31545497.0,87280.0,7116268.0,76.2,3.5,27858203.0,5.081202675334873,0.8999999999999915,0.0,13.235936287778504,0
2020,5785147.0,5737317.0,47830.0,48.4,3.1,23402668.0,87280.0,7477860.0,77.1,3.5,31545497.0,-22.63632911019998,-28.699999999999996,-0.3999999999999999,-25.812967854017323,1
2021,5314193.0,5250335.0,63858.0,60.2,3.3,26094945.0,88500.0,5785147.0,48.4,3.1,23402668.0,-8.140743873924027,11.800000000000004,0.19999999999999973,11.504145595707293,1
2022,6350347.0,6283849.0,66498.0,68.5,3.4,28000000.0,89500.0,5314193.0,60.2,3.3,26094945.0,19.497861669683438,8.299999999999997,0.10000000000000009,7.30047524530133,0
2023,6949732.0,6882377.0,67355.0,71.0,3.4,29844925.0,90500.0,6350347.0,68.5,3.4,28000000.0,9.438618078665616,2.5,0.0,6.589017857142854,0
2024,7194899.0,7126598.0,68301.0,72.5,3.3,31000000.0,91159.0,6949732.0,71.0,3.4,29844925.0,3.5277187667092758,1.5,-0.10000000000000009,3.870255998297867,0
